example.tml.plain	0	0-n	Today
example.tml.plain	0	1-s	is
example.tml.plain	0	2-s	Saturday
example.tml.plain	0	3-	.
example.tml.plain	1	0-n	He
example.tml.plain	1	1-s	said
example.tml.plain	1	2-s	something
example.tml.plain	1	3-s	yesterday
example.tml.plain	1	4-	.
example.tml.plain	2	0-sn	He
example.tml.plain	2	1-s	said
example.tml.plain	2	2-s	something
example.tml.plain	2	3-s	on
example.tml.plain	2	4-s	Friday
example.tml.plain	2	5-	.
example.tml.plain	3	0-sn	He
example.tml.plain	3	1-s	said
example.tml.plain	3	2-s	something
example.tml.plain	3	3-s	on
example.tml.plain	3	4-s	Monday
example.tml.plain	3	5-	.
example.tml.plain	4	0-sn	He
example.tml.plain	4	1-s	said
example.tml.plain	4	2-s	something
example.tml.plain	4	3-s	on
example.tml.plain	4	4-s	Sunday
example.tml.plain	4	5-	.
example.tml.plain	5	0-sn	He
example.tml.plain	5	1-s	will
example.tml.plain	5	2-s	say
example.tml.plain	5	3-s	something
example.tml.plain	5	4-s	on
example.tml.plain	5	5-s	Sunday
example.tml.plain	5	6-	.
